Date,IRFM11.SA,IMAB11.SA,^BVSP,^GSPC,BRL=X,GC=F,BTC-USD
2021-07-01,64.37999725341797,80.66000366210938,121801.0,4395.259765625,5.202600002288818,1812.5999755859375,41626.1953125
2021-08-01,63.88999938964844,79.75,118781.0,4522.68017578125,5.1828999519348145,,47166.6875
2021-09-01,63.540000915527344,80.13999938964844,110979.0,4307.5400390625,5.414299964904785,1755.300048828125,43790.89453125
2021-10-01,61.79999923706055,77.66000366210938,103501.0,4605.3798828125,5.633699893951416,1783.0,61318.95703125
2021-11-01,62.93000030517578,79.73999786376953,101915.0,4567.0,5.6006999015808105,1773.5999755859375,57005.42578125
2021-12-01,64.33000183105469,78.80000305175781,104822.0,4766.18017578125,5.570199966430664,1827.5,46306.4453125
2022-01-01,64.0199966430664,79.62000274658203,112388.0,4515.5498046875,5.362599849700928,1795.0,38483.125
2022-02-01,64.41000366210938,79.79000091552734,113142.0,4373.93994140625,5.15939998626709,1899.4000244140625,43193.234375
2022-03-01,65.05000305175781,82.81999969482422,119999.0,4530.41015625,4.769700050354004,1949.199951171875,45538.67578125
2022-04-01,64.81999969482422,83.19000244140625,107876.0,4131.93017578125,4.970300197601318,1909.300048828125,37714.875
2022-05-01,65.08000183105469,83.54000091552734,111351.0,4132.14990234375,4.752399921417236,,31792.310546875
2022-06-01,65.2300033569336,84.16999816894531,98542.0,3785.3798828125,5.1809000968933105,1804.0999755859375,19784.7265625
2022-07-01,65.9800033569336,82.43000030517578,103165.0,4130.2900390625,5.17080020904541,1762.9000244140625,23336.896484375
2022-08-01,67.55999755859375,83.12000274658203,109523.0,3955.0,5.1219000816345215,1712.800048828125,20049.763671875
2022-09-01,68.5199966430664,84.18000030517578,110037.0,3585.6201171875,5.396200180053711,1662.4000244140625,19431.7890625
2022-10-01,69.08000183105469,85.1500015258789,116037.0,3871.97998046875,5.28849983215332,1635.9000244140625,20495.7734375
2022-11-01,68.36000061035156,84.37999725341797,112486.0,4080.110107421875,5.268199920654297,1746.0,17168.56640625
2022-12-01,69.18000030517578,84.75,110031.0,3839.5,5.282899856567383,1819.699951171875,16547.49609375
2023-01-01,70.0,84.7699966430664,113532.0,4076.60009765625,5.1149001121521,,23139.283203125
2023-02-01,70.56999969482422,86.68000030517578,104932.0,3970.14990234375,5.199699878692627,1828.9000244140625,23147.353515625
2023-03-01,72.26000213623047,88.5,101882.0,4109.31005859375,5.092700004577637,1969.0,28478.484375
2023-04-01,73.05999755859375,90.52999877929688,104432.0,4169.47998046875,4.985199928283691,1990.0999755859375,29268.806640625
2023-05-01,74.69999694824219,92.69999694824219,108335.0,4179.830078125,5.034800052642822,1963.9000244140625,27219.658203125
2023-06-01,76.4000015258789,94.44999694824219,118087.0,4450.3798828125,4.855599880218506,1921.0999755859375,30477.251953125
2023-07-01,77.08999633789062,95.86000061035156,121943.0,4588.9599609375,4.723299980163574,1970.5,29230.111328125
2023-08-01,77.58999633789062,95.13999938964844,115742.0,4507.66015625,4.888400077819824,1938.199951171875,25931.47265625
2023-09-01,77.68000030517578,94.3499984741211,116565.0,4288.0498046875,5.031400203704834,1848.0999755859375,26967.916015625
2023-10-01,77.93000030517578,93.3499984741211,113144.0,4193.7998046875,5.04610013961792,,34667.78125
2023-11-01,79.97000122070312,96.12000274658203,127331.0,4567.7998046875,4.904099941253662,2038.0999755859375,37712.74609375
2023-12-01,81.1500015258789,98.8499984741211,134185.0,4769.830078125,4.838949203491211,2062.39990234375,42265.1875
2024-01-01,81.7300033569336,98.30999755859375,127752.0,4845.64990234375,4.950300216674805,2048.39990234375,42582.60546875
2024-02-01,81.95999908447266,98.75,129020.0,5096.27001953125,4.967299938201904,2045.699951171875,61198.3828125
2024-03-01,82.4800033569336,98.9000015258789,128106.0,5254.35009765625,5.013199806213379,2217.39990234375,71333.6484375
2024-04-01,82.06999969482422,97.61000061035156,125924.0,5035.68994140625,5.117000102996826,2291.39990234375,60636.85546875
2024-05-01,82.61000061035156,98.62000274658203,122098.0,5277.509765625,5.202099800109863,2322.89990234375,67491.4140625
2024-06-01,82.33999633789062,97.86000061035156,123907.0,5460.47998046875,5.592100143432617,2327.699951171875,62678.29296875
2024-07-01,83.37999725341797,99.44999694824219,127652.0,5522.2998046875,5.611100196838379,2426.5,64619.25
2024-08-01,83.9000015258789,101.08999633789062,136004.0,5648.39990234375,5.608799934387207,2493.800048828125,58969.8984375
2024-09-01,84.12999725341797,99.56999969482422,131816.0,5762.47998046875,5.433199882507324,,63329.5
2024-10-01,84.20999908447266,98.55999755859375,129713.0,5705.4501953125,5.76230001449585,2738.300048828125,70215.1875
2024-11-01,83.95999908447266,100.30000305175781,125668.0,6032.3798828125,5.973199844360352,2657.0,96449.0546875
2024-12-01,82.1500015258789,96.20999908447266,120283.0,5881.6298828125,6.1778998374938965,,93429.203125
2025-01-01,84.2699966430664,97.29000091552734,126135.0,6040.52978515625,5.874499797821045,2812.5,102405.0234375
2025-02-01,84.87999725341797,97.55000305175781,122799.0,5954.5,5.839000225067139,2836.800048828125,84373.0078125
2025-03-01,85.94999694824219,99.38999938964844,130260.0,5611.85009765625,5.7581000328063965,3122.800048828125,82548.9140625
2025-04-01,88.5,101.43000030517578,135067.0,5569.06005859375,5.619999885559082,3305.0,94207.3125
2025-05-01,89.36000061035156,103.19999694824219,137027.0,5911.68994140625,5.66510009765625,3288.89990234375,104638.09375
2025-06-01,90.91000366210938,104.30999755859375,138855.0,6204.9501953125,5.478400230407715,,107135.3359375
2025-07-01,91.19999694824219,103.4000015258789,133071.0,6339.39013671875,5.575399875640869,3293.199951171875,115758.203125
2025-08-01,92.73999786376953,104.41999816894531,141422.0,6460.259765625,5.4274001121521,3473.699951171875,108236.7109375
2025-09-01,93.76000213623047,104.93000030517578,146237.0,6688.4599609375,5.321700096130371,3840.800048828125,114056.0859375
2025-10-01,93.58000183105469,104.2699966430664,141356.0,6714.58984375,5.311200141906738,3976.60009765625,121451.3828125
